temperature,speed wind,humidity,Visibility,pressure,date
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.734127
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.750085
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.766066
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.782997
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.798954
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.816906
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.832868
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.848821
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.864779
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.880736
14,6,77%,6000m,1018.0bm,2021-12-17 04:49:41.895696
